access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2084,620948,174,156,8755,0
2,232,33190,123,101,396,0
3,58,3461,78,18,21,0
4,42,3288,90,3,4,0
5,12,842,60,2,2,0
6,11,405,87,1,1,0
7,5,497,33,1,1,0
8,4,320,48,0,0,0
9,4,289,45,0,0,0
10,2,247,48,0,0,0
11,2,200,27,0,0,0
12,4,173,21,0,0,0
13,2,132,15,0,0,0
14,5,134,12,1,1,0
15,2,135,9,1,1,0
16,7,142,9,1,1,0
17,3,257,9,0,0,0
18,3,405,0,1,1,0
19,12,638,9,1,1,0
20,24,834,0,1,2,0
21,26,884,0,0,0,0
22,45,874,3,0,0,0
23,44,800,6,0,0,0
24,62,630,0,2,2,0
25,48,446,3,0,0,0
26,32,274,0,1,1,0
27,13,206,0,0,0,0
28,9,171,3,0,0,0
29,13,211,0,0,0,0
30,7,172,0,0,0,0
31,8,169,0,0,0,0
32,8,186,0,0,0,0
33,3,181,0,0,0,0
34,5,180,0,0,0,0
35,0,200,0,0,0,0
36,4,212,0,0,0,0
37,3,166,375,0,0,0
38,4,166,552,0,0,0
39,2,131,378,0,0,0
40,3,110,330,1,1,0
41,9,95,294,0,0,0
42,3,75,270,0,0,0
43,6,66,192,0,0,0
44,3,60,165,1,1,0
45,5,62,189,0,0,0
46,5,44,144,0,0,0
47,6,52,255,0,0,0
48,1,38,165,0,0,0
49,0,36,579,0,0,0
50,1,43,3459,0,0,0
51,2,34,3306,0,0,0
52,1,30,3024,0,0,0
53,3,42,2946,0,0,0
54,2,27,2595,0,0,0
55,1,22,2490,0,0,0
56,2,46,2115,0,0,0
57,2,20,1893,0,0,0
58,1,23,1818,0,0,0
59,3,44,1470,0,0,0
60,2,27,1512,0,0,0
61,0,28,1278,0,0,0
62,0,36,1191,0,0,0
63,0,16,1158,0,0,0
64,2,24,1122,0,0,0
65,1,12,963,0,0,0
66,1,14,957,0,0,0
67,0,24,930,0,0,0
68,1,15,849,0,0,0
69,0,15,753,0,0,0
70,3,26,639,0,0,0
71,0,25,663,0,0,0
72,0,16,630,0,0,0
73,1,12,729,0,0,0
74,1,28,579,0,0,0
75,1,17,549,0,0,0
76,0,14,558,0,0,0
77,0,23,513,0,0,0
78,0,13,462,0,0,0
79,1,18,414,0,0,0
80,0,20,420,0,0,0
81,1,14,459,0,0,0
82,0,9,411,0,0,0
83,0,16,486,0,0,0
84,0,9,417,0,0,0
85,1,9,390,0,0,0
86,1,17,357,0,0,0
87,1,12,330,0,0,0
88,0,11,411,0,0,0
89,1,17,333,0,0,0
90,0,3,366,0,0,0
91,0,3,291,0,0,0
92,0,13,303,0,0,0
93,2,13,255,0,0,0
94,0,15,285,0,0,0
95,0,8,279,0,0,0
96,1,9,336,0,0,0
97,0,11,282,0,0,0
98,0,10,243,0,0,0
99,0,6,258,0,0,0
100,0,6,324,0,0,0
101,0,5,285,0,0,0
102,1,10,282,0,0,0
103,0,8,261,0,0,0
104,0,15,237,0,0,0
105,1,13,264,0,0,0
106,0,4,285,0,0,0
107,0,7,213,0,0,0
108,0,10,261,0,0,0
109,0,2,264,0,0,0
110,0,4,240,0,0,0
111,0,6,222,0,0,0
112,0,11,228,0,0,0
113,0,6,261,0,12,0
114,1,8,219,0,130,0
115,0,6,252,0,501,0
116,1,4,219,2,1083,0
117,0,6,165,40,2216,0
118,0,4,237,181,3945,0
119,0,4,195,461,5920,0
120,0,4,198,828,7623,0
121,1,5,171,1351,8373,0
122,1,6,168,1962,9614,0
123,0,2,204,2503,9684,0
124,0,3,159,2513,8476,0
125,0,5,174,2266,7028,0
126,0,8,153,1970,5685,0
127,0,4,195,1289,4443,0
128,1,5,150,860,3239,0
129,1,6,132,610,2787,0
130,0,2,126,567,2343,0
131,0,2,117,483,2241,0
132,0,7,183,447,2250,0
133,0,3,147,474,2213,0
134,0,3,144,513,2339,0
135,0,8,135,483,2081,0
136,0,1,156,423,2155,0
137,0,3,141,244,1693,0
138,0,4,123,292,1943,0
139,0,7,138,234,1754,0
140,0,5,138,266,1524,0
141,0,3,141,219,1484,0
142,1,7,132,244,1551,0
143,0,3,120,250,1335,0
144,0,2,114,252,1409,0
145,0,1,132,261,1426,0
146,0,4,117,247,1255,0
147,0,5,117,294,1331,0
148,0,4,117,240,1221,0
149,0,5,84,257,1267,0
150,0,4,123,189,1247,0
151,1,4,108,170,1125,0
152,0,2,102,149,1051,0
153,2,5,102,176,1161,0
154,0,1,102,131,942,0
155,0,4,72,167,1084,0
156,0,5,87,165,1105,0
157,0,3,96,201,1068,0
158,0,1,93,180,947,0
159,0,2,72,117,785,0
160,0,3,102,97,769,0
161,0,1,66,80,752,0
162,1,4,105,128,791,0
163,0,3,66,191,804,0
164,0,5,69,192,903,0
165,0,1,99,192,934,0
166,0,0,75,100,741,0
167,0,0,69,124,810,0
168,0,1,69,103,712,0
169,0,3,66,149,638,0
170,0,0,75,157,799,0
171,0,4,87,89,692,0
172,0,2,81,195,932,0
173,0,3,54,155,849,0
174,0,4,60,122,862,0
175,0,2,69,196,950,0
176,0,2,75,159,824,0
177,0,0,51,103,648,0
178,0,1,57,99,716,0
179,0,4,93,172,841,0
180,0,1,45,129,740,0
181,0,0,39,120,645,0
182,0,1,78,105,769,0
183,0,1,57,150,652,0
184,0,2,48,81,547,0
185,0,0,45,148,767,0
186,0,0,81,86,680,0
187,0,2,72,128,634,0
188,0,1,42,172,704,0
189,0,0,60,119,564,0
190,0,1,51,113,646,0
191,0,2,69,91,527,0
192,0,0,60,54,446,0
193,0,0,81,99,618,0
194,0,2,48,77,503,0
195,0,2,42,61,531,0
196,0,2,66,82,620,0
197,0,1,39,63,568,0
198,0,1,48,86,529,0
199,0,1,60,128,640,0
200,1,4,33,130,543,0
201,1,2,33,100,452,0
202,0,2,54,74,383,0
203,0,1,72,41,432,0
204,0,2,36,75,583,0
205,0,1,36,136,574,0
206,0,1,36,91,621,0
207,0,0,57,51,696,0
208,0,1,57,41,576,0
209,0,5,69,79,548,0
210,0,6,36,43,565,0
211,0,2,36,121,570,0
212,0,2,48,138,568,0
213,0,1,78,118,589,0
214,0,6,42,71,505,0
215,0,2,42,76,560,0
216,0,1,69,56,482,0
217,0,2,45,91,486,0
218,1,4,42,96,497,0
219,0,1,45,57,532,0
220,0,1,48,101,538,0
221,0,2,51,61,422,0
222,0,0,54,52,401,0
223,0,2,42,49,353,0
224,0,2,30,97,441,0
225,0,2,54,64,497,0
226,0,2,39,86,448,0
227,0,1,57,98,538,0
228,0,1,57,102,635,0
229,0,1,42,71,473,0
230,0,1,42,105,432,0
231,0,2,54,113,530,0
232,0,0,27,39,394,0
233,0,0,45,80,364,0
234,0,2,57,53,298,0
235,0,1,39,89,356,0
236,0,1,30,50,404,0
237,0,2,54,79,386,0
238,0,5,36,90,428,0
239,0,0,27,98,522,0
240,0,4,27,72,399,0
241,0,2,45,75,410,0
242,0,1,33,99,464,0
243,0,4,42,104,397,0
244,0,4,30,93,500,0
245,0,4,45,61,350,0
246,0,3,27,44,367,0
247,1,5,9,44,279,0
248,0,1,39,102,309,0
249,0,2,30,67,372,0
250,1,2,21,44,274,0
251,0,1,42,63,294,0
252,0,0,27,77,387,0
253,0,2,42,123,425,0
254,0,0,24,133,379,0
255,0,0,24,103,479,0
256,0,1,30,59,384,0
257,0,1,27,62,327,0
258,0,0,27,71,429,0
259,0,1,30,73,322,0
260,0,1,27,70,390,0
261,0,1,27,98,322,0
262,0,0,36,70,241,0
263,0,0,24,47,210,0
264,0,0,39,92,306,0
265,0,0,15,57,304,0
266,0,0,18,44,320,0
267,0,1,33,73,297,0
268,0,1,30,62,314,0
269,0,0,21,65,292,0
270,0,0,15,90,350,0
271,0,0,18,66,227,0
272,0,2,39,36,275,0
273,0,0,45,39,247,0
274,0,0,12,33,274,0
275,0,0,15,69,288,0
276,0,1,24,89,312,0
277,0,0,33,41,222,0
278,0,1,36,67,286,0
279,0,1,33,55,319,0
280,0,1,24,70,288,0
281,0,0,15,26,221,0
282,0,0,33,30,342,0
283,0,1,27,59,248,0
284,0,0,27,38,335,0
285,0,0,33,44,254,0
286,0,0,21,50,228,0
287,0,1,18,90,276,0
288,0,0,15,88,322,0
289,0,0,21,64,301,0
290,0,0,24,87,360,0
291,0,2,33,90,294,0
292,0,1,48,62,301,0
293,0,2,24,51,179,0
294,0,0,18,50,253,0
295,0,0,27,41,281,0
296,0,1,18,79,303,0
297,0,0,21,85,278,0
298,0,0,15,54,270,0
299,0,0,30,70,349,0
300,0,0,18,72,276,0
301,1,1,24,73,349,0
302,0,1,21,87,290,0
303,0,0,27,32,261,0
304,0,1,24,68,301,0
305,0,1,15,54,319,0
306,0,1,27,47,278,0
307,0,1,12,99,478,0
308,0,0,18,57,332,0
309,0,0,18,56,351,0
310,0,1,6,49,275,0
311,0,1,18,56,221,0
312,0,0,27,49,218,0
313,0,0,15,59,292,0
314,0,1,12,49,225,0
315,0,0,21,41,234,0
316,0,0,21,47,285,0
317,0,0,15,55,252,0
318,0,0,18,56,274,0
319,0,0,9,43,280,0
320,0,0,21,20,232,0
321,0,0,30,61,330,0
322,0,0,27,74,249,0
323,0,0,21,55,250,0
324,0,0,24,48,182,0
325,0,1,21,32,285,0
326,0,0,21,46,232,0
327,0,0,24,47,246,0
328,0,0,6,28,183,0
329,0,0,18,56,167,0
330,0,0,21,65,178,0
331,0,1,21,43,267,0
332,0,1,30,61,271,0
333,0,0,12,42,205,0
334,0,0,12,36,302,0
335,0,0,24,60,208,0
336,0,0,21,46,334,0
337,0,0,9,55,283,0
338,0,0,18,49,170,0
339,0,2,24,51,180,0
340,0,0,12,48,224,0
341,0,2,27,21,207,0
342,0,0,9,24,206,0
343,0,0,24,57,252,0
344,0,2,15,55,277,0
345,0,0,24,56,199,0
346,0,0,12,64,214,0
347,0,0,27,45,163,0
348,0,1,27,50,232,0
349,0,0,24,54,158,0
350,0,0,21,41,149,0
351,0,0,24,48,208,0
352,0,1,24,76,312,0
353,0,1,12,60,145,0
354,0,0,12,54,147,0
355,0,2,12,40,123,0
356,0,0,18,51,208,0
357,0,0,12,52,269,0
358,0,0,21,39,190,0
359,0,0,30,39,115,0
360,0,1,18,50,156,0
361,0,0,9,41,244,0
362,0,0,9,39,272,0
363,0,0,15,73,264,0
364,0,0,15,38,242,0
365,0,0,15,24,192,0
366,0,0,15,43,227,0
367,0,0,12,62,247,0
368,0,1,30,28,222,0
369,0,0,6,28,161,0
370,0,0,21,30,171,0
371,0,1,3,34,201,0
372,0,0,9,46,177,0
373,0,2,9,48,158,0
374,0,0,15,59,266,0
375,0,0,9,51,235,0
376,0,0,12,39,192,0
377,0,0,6,23,174,0
378,0,0,12,24,181,0
379,0,0,15,33,198,0
380,0,0,15,35,177,0
381,0,0,15,53,164,0
382,0,0,15,62,178,0
383,0,0,9,78,242,0
384,0,1,9,66,241,0
385,0,0,15,40,157,0
386,0,0,27,63,144,0
387,0,2,18,62,222,0
388,0,0,24,86,290,0
389,0,0,24,56,243,0
390,0,0,6,67,261,0
391,0,1,27,55,147,0
392,0,1,3,60,152,0
393,0,0,6,48,204,0
394,0,2,18,109,187,0
395,0,0,12,63,258,0
396,0,2,3,42,149,0
397,0,1,6,35,230,0
398,0,1,12,42,163,0
399,0,2,24,57,182,0
400,0,2,21,40,162,0
401,0,1,15,28,112,0
402,0,0,6,13,119,0
403,0,0,9,39,104,0
404,0,0,15,41,111,0
405,0,0,6,36,129,0
406,0,0,6,46,156,0
407,0,0,18,24,118,0
408,0,0,12,32,133,0
409,0,0,6,50,163,0
410,0,1,9,43,185,0
411,0,1,15,47,153,0
412,0,0,12,50,182,0
413,0,0,9,34,215,0
414,0,0,24,39,168,0
415,0,1,9,37,228,0
416,0,0,12,29,192,0
417,0,0,9,22,184,0
418,0,0,0,14,124,0
419,0,0,6,27,142,0
420,0,2,21,64,183,0
421,0,0,9,36,191,0
422,0,0,21,87,221,0
423,0,0,12,16,86,0
424,0,0,3,9,112,0
425,0,0,9,20,134,0
426,0,1,18,36,198,0
427,0,0,15,22,155,0
428,0,0,12,23,88,0
429,0,1,6,35,109,0
430,0,0,9,28,115,0
431,0,0,12,14,84,0
432,0,0,18,23,107,0
433,0,1,18,25,199,0
434,0,0,15,30,171,0
435,0,1,24,39,126,0
436,0,0,21,10,186,0
437,0,0,12,20,170,0
438,0,0,6,46,164,0
439,0,0,21,22,163,0
440,0,1,21,27,150,0
441,0,0,15,45,186,0
442,0,0,18,42,192,0
443,0,0,15,48,195,0
444,0,0,9,16,154,0
445,0,0,15,18,158,0
446,0,0,9,53,247,0
447,0,0,18,29,132,0
448,0,0,6,41,199,0
449,0,0,3,36,188,0
450,0,0,3,23,118,0
451,0,1,18,21,165,0
452,0,0,12,25,136,0
453,0,0,18,16,80,0
454,0,0,18,19,108,0
455,0,0,3,41,118,0
456,0,0,15,18,117,0
457,0,0,12,16,118,0
458,0,0,6,33,121,0
459,0,0,6,50,208,0
460,0,0,3,62,195,0
461,0,0,6,24,109,0
462,0,0,9,16,63,0
463,0,0,6,19,115,0
464,0,0,15,27,113,0
465,0,0,9,38,168,0
466,0,0,18,30,181,0
467,0,0,12,31,138,0
468,0,0,6,21,164,0
469,0,0,0,20,114,0
470,0,0,3,17,184,0
471,0,2,0,30,119,0
472,0,1,3,17,81,0
473,0,0,6,33,143,0
474,0,0,6,31,142,0
475,0,1,9,27,111,0
476,0,0,12,29,162,0
